client_id,subscription_id,cycle_number,tenure_months,contract,monthly_charges,total_charges,payment_method,paperless_billing,nivel_reportes,control_stock,duracion_ciclo_dias,dias_restantes_al_corte,renovacion_automatica,alertas_enviadas,renovaciones_previas,region,client_estado,partner,dependents,target_renovo
CL-00135,1679,5,72,anual,288.45,20407.96,transferencia,0,avanzado,1,365,31,1,0,4,Lima,activo,si,si,1
CL-00136,625,41,41,mensual,59.79,2517.93,yape,0,basico,0,30,4,0,1,40,Lima,inactivo,si,no,1
CL-00137,733,1,22,enterprise,195.26,4460.45,transferencia,1,premium,0,365,44,1,0,0,Cusco,activo,si,no,1
CL-00138,752,9,9,mensual,111.25,1028.84,factura,0,avanzado,1,30,29,0,0,8,Lima,activo,no,no,0
CL-00139,598,1,19,enterprise,478.16,8212.32,tarjeta,1,avanzado,1,365,11,1,1,0,Chiclayo,activo,si,no,0
CL-00140,1951,3,3,mensual,56.16,149.8,transferencia,0,basico,1,30,38,0,0,2,Lima,activo,si,no,0
CL-00141,2209,54,54,mensual,88.15,3720.31,tarjeta,1,avanzado,0,30,18,0,0,53,Chiclayo,activo,no,no,1
CL-00142,1658,13,13,mensual,101.95,1079.93,factura,0,basico,1,30,4,0,1,12,Cusco,activo,no,si,1
CL-00143,2371,4,59,enterprise,375.0,20923.83,tarjeta,0,avanzado,1,365,31,0,0,3,Cusco,activo,no,no,1
CL-00144,905,1,22,anual,153.73,2665.75,tarjeta,0,basico,0,365,7,1,1,0,Arequipa,activo,no,si,1
CL-00145,2217,6,6,mensual,89.11,552.15,tarjeta,1,avanzado,1,30,27,0,0,5,Lima,activo,no,si,0
CL-00146,2366,21,21,mensual,160.87,2763.81,transferencia,0,premium,0,30,31,0,0,20,Cusco,activo,no,no,1
CL-00147,227,1,1,mensual,103.92,80.68,transferencia,1,basico,0,30,8,0,1,0,Chiclayo,activo,si,no,0
CL-00148,690,29,29,mensual,115.21,2741.61,yape,0,basico,1,30,36,0,0,28,Lima,activo,no,si,1
CL-00149,1294,28,28,mensual,29.42,629.91,yape,1,avanzado,0,30,21,0,0,27,Arequipa,activo,si,no,1
CL-00150,1270,52,52,mensual,93.89,3904.98,yape,0,avanzado,1,30,16,0,0,51,Lima,activo,no,no,1
CL-00151,1509,1,1,enterprise,370.56,343.25,transferencia,0,basico,1,365,5,1,0,0,Lima,activo,no,si,0
CL-00152,1548,4,60,enterprise,319.19,16024.92,transferencia,1,basico,0,365,34,1,0,3,Arequipa,activo,no,no,1
CL-00153,295,52,52,mensual,141.49,7286.47,factura,0,avanzado,1,30,8,0,1,51,Lima,activo,no,si,1
CL-00154,2389,5,63,anual,182.87,10039.47,transferencia,0,avanzado,0,365,8,1,0,4,Lima,activo,si,no,1
CL-00155,27,31,31,mensual,248.73,7434.51,tarjeta,1,avanzado,0,30,12,0,0,30,Lima,activo,no,si,1
CL-00156,2137,4,57,anual,109.48,6006.27,transferencia,0,basico,0,365,20,1,0,3,Lima,activo,no,si,1
CL-00157,1251,1,1,mensual,38.61,30.53,yape,0,avanzado,1,30,40,0,0,0,Lima,activo,no,si,0
CL-00158,935,4,49,anual,98.08,3686.02,factura,1,basico,0,365,34,1,0,3,Lima,inactivo,no,no,1
CL-00159,1106,1,13,anual,136.03,1772.98,transferencia,0,avanzado,0,365,34,1,0,0,Lima,activo,no,si,0
CL-00160,1253,1,1,enterprise,177.96,170.89,transferencia,0,avanzado,1,365,9,1,0,0,Arequipa,activo,si,si,1
CL-00161,17,4,4,mensual,102.51,329.05,transferencia,0,avanzado,1,30,30,0,0,3,Lima,activo,si,no,0
CL-00162,1142,2,32,enterprise,447.99,13676.2,yape,0,basico,1,365,16,1,0,1,Lima,activo,no,no,0
CL-00163,2415,12,12,mensual,219.29,2233.71,tarjeta,1,basico,0,30,22,0,0,11,Lima,activo,si,si,1
CL-00164,763,41,41,mensual,162.83,5120.69,factura,1,avanzado,1,30,29,0,0,40,Lima,activo,si,no,1
CL-00165,861,1,1,anual,442.31,362.09,tarjeta,1,premium,1,365,8,1,1,0,Lima,activo,no,no,0
CL-00166,1202,1,1,mensual,86.15,84.15,tarjeta,0,premium,0,30,16,0,0,0,Lima,activo,si,si,0
CL-00167,2370,5,66,enterprise,90.52,5181.04,yape,0,premium,0,365,18,1,0,4,Lima,activo,no,no,1
CL-00168,223,4,54,enterprise,436.41,21526.69,tarjeta,0,avanzado,0,365,40,0,0,3,Trujillo,activo,si,no,0
CL-00169,744,6,6,mensual,37.65,178.68,tarjeta,0,premium,1,30,44,0,0,5,Lima,activo,si,si,0
CL-00170,137,2,32,enterprise,182.27,4536.62,factura,0,avanzado,1,365,44,1,0,1,Lima,activo,no,si,0
CL-00171,241,57,57,mensual,113.19,5301.96,transferencia,0,premium,0,30,24,0,0,56,Cusco,activo,si,no,1
CL-00172,173,42,42,mensual,118.92,4454.03,factura,0,avanzado,0,30,29,0,0,41,Lima,activo,si,no,1
CL-00173,829,36,36,mensual,92.07,3328.1,tarjeta,0,avanzado,1,30,33,0,0,35,Lima,activo,si,no,1
CL-00174,339,4,59,enterprise,131.84,7615.35,tarjeta,0,basico,1,365,36,1,0,3,Trujillo,activo,si,no,1
CL-00175,1938,14,14,mensual,90.98,1016.45,tarjeta,1,avanzado,1,30,31,0,0,13,Lima,activo,si,no,1
CL-00176,710,33,33,mensual,171.6,4368.52,tarjeta,1,basico,0,30,41,0,0,32,Arequipa,activo,no,si,1
CL-00177,1079,31,31,mensual,112.09,2841.17,transferencia,0,basico,1,30,18,0,0,30,Trujillo,activo,no,no,1
CL-00178,1598,2,25,enterprise,190.17,4781.34,factura,1,avanzado,0,365,32,1,0,1,Chiclayo,activo,si,no,1
CL-00179,857,1,22,enterprise,115.42,2297.39,transferencia,0,premium,0,365,28,1,0,0,Chiclayo,activo,no,no,1
CL-00180,2103,2,34,anual,121.31,4091.84,yape,0,premium,1,365,35,0,0,1,Lima,activo,no,no,1
CL-00181,1640,2,33,enterprise,318.48,9047.65,transferencia,1,basico,0,365,42,1,0,1,Piura,activo,no,no,1
CL-00182,1952,1,6,enterprise,317.88,1768.3,tarjeta,0,avanzado,1,365,4,1,1,0,Lima,activo,no,si,1
CL-00183,1694,52,52,mensual,78.53,3791.26,tarjeta,0,avanzado,0,30,39,0,0,51,Arequipa,activo,si,si,1
CL-00184,816,8,8,mensual,39.12,293.56,transferencia,0,basico,1,30,38,0,0,7,Arequipa,inactivo,no,si,1
CL-00185,1466,2,27,enterprise,380.02,9142.61,tarjeta,0,premium,0,365,40,1,0,1,Lima,activo,no,no,1
CL-00186,109,2,25,anual,101.92,2093.87,transferencia,1,basico,0,365,13,1,1,1,Lima,activo,no,no,1
CL-00187,471,41,41,mensual,145.79,5251.41,yape,1,premium,0,30,27,0,0,40,Cusco,activo,no,no,1
CL-00188,136,1,1,mensual,70.57,73.56,tarjeta,0,basico,1,30,4,0,0,0,Lima,activo,no,no,0
CL-00189,188,4,54,anual,111.79,5020.29,tarjeta,0,premium,1,365,3,0,0,3,Trujillo,activo,no,no,1
CL-00190,1994,15,15,mensual,150.05,2177.48,yape,0,avanzado,1,30,27,0,0,14,Chiclayo,activo,si,si,1
CL-00191,505,5,62,enterprise,641.42,41097.04,transferencia,1,avanzado,1,365,44,1,0,4,Lima,activo,no,si,1
CL-00192,2179,20,20,mensual,144.08,2650.72,transferencia,1,basico,1,30,11,0,0,19,Lima,activo,si,si,1
CL-00193,2377,31,31,mensual,148.27,4122.03,tarjeta,0,basico,0,30,36,0,0,30,Lima,activo,si,no,1
CL-00194,2329,5,72,enterprise,353.16,19992.42,yape,0,basico,0,365,4,1,1,4,Lima,activo,no,si,1
CL-00195,1486,25,25,mensual,29.43,718.08,transferencia,0,avanzado,1,30,3,0,1,24,Lima,suspendido,no,si,1
CL-00196,2416,62,62,mensual,65.86,4179.06,factura,1,avanzado,1,30,28,0,0,61,Lima,suspendido,no,no,1
CL-00197,285,2,33,anual,49.93,1720.53,yape,1,basico,0,365,13,0,0,1,Trujillo,activo,no,no,1
CL-00198,2122,3,42,enterprise,604.85,20589.63,transferencia,0,basico,0,365,5,0,1,2,Cusco,activo,no,no,0
CL-00199,279,34,34,mensual,197.46,6888.31,transferencia,0,basico,1,30,42,0,0,33,Lima,activo,si,no,1
CL-00200,887,53,53,mensual,163.8,7475.38,tarjeta,0,avanzado,0,30,40,0,0,52,Arequipa,activo,si,no,1
CL-00201,807,1,15,enterprise,315.06,4422.24,transferencia,0,basico,0,365,1,1,1,0,Trujillo,activo,no,no,0
CL-00202,1187,1,8,enterprise,66.42,434.17,yape,0,avanzado,1,365,44,1,0,0,Trujillo,activo,si,si,1
CL-00203,1656,16,16,mensual,112.15,1479.51,transferencia,1,avanzado,1,30,1,0,1,15,Arequipa,activo,no,no,1
CL-00204,2081,34,34,mensual,250.36,7964.8,factura,1,basico,0,30,34,0,0,33,Lima,activo,no,no,1
CL-00205,1479,26,26,mensual,102.52,2386.84,transferencia,0,basico,1,30,36,0,0,25,Cusco,activo,si,no,1
CL-00206,2245,49,49,mensual,74.9,3814.41,tarjeta,1,avanzado,0,30,13,0,0,48,Lima,activo,si,no,1
CL-00207,1495,64,64,mensual,39.39,2090.73,tarjeta,0,premium,0,30,7,0,1,63,Lima,activo,no,no,1
CL-00208,903,1,8,anual,359.79,2916.92,tarjeta,1,basico,1,365,26,1,0,0,Lima,activo,si,no,0
CL-00209,1402,14,14,mensual,105.06,1306.32,factura,0,basico,1,30,40,0,0,13,Lima,activo,si,no,1
CL-00210,1571,1,1,mensual,30.77,24.32,tarjeta,0,avanzado,1,30,2,0,0,0,Trujillo,activo,si,no,0
CL-00211,1231,5,72,anual,122.69,7258.97,yape,1,basico,0,365,39,1,0,4,Arequipa,activo,no,no,1
CL-00212,447,3,39,anual,84.48,3217.99,transferencia,1,basico,0,365,28,1,0,2,Lima,activo,si,no,1
CL-00213,723,44,44,mensual,112.4,4935.66,factura,0,avanzado,0,30,45,0,0,43,Chiclayo,activo,no,no,1
CL-00214,5,1,1,enterprise,271.52,206.86,transferencia,1,basico,0,365,12,0,0,0,Lima,activo,no,no,0
CL-00215,1479,2,32,anual,136.0,3799.33,factura,0,avanzado,0,365,30,1,0,1,Lima,activo,no,no,1
CL-00216,889,3,44,anual,202.03,7984.85,yape,1,premium,0,365,21,0,0,2,Trujillo,activo,si,no,1
CL-00217,1966,26,26,mensual,97.1,2359.26,tarjeta,0,premium,0,30,29,0,0,25,Lima,activo,si,no,1
CL-00218,2303,58,58,mensual,203.59,11160.95,transferencia,1,avanzado,1,30,9,0,1,57,Piura,activo,si,no,1
CL-00219,2473,5,72,enterprise,261.5,18812.33,tarjeta,0,basico,0,365,23,1,0,4,Trujillo,activo,no,si,1
CL-00220,1639,9,9,mensual,214.07,1602.99,tarjeta,0,avanzado,0,30,45,0,0,8,Lima,inactivo,no,no,0
CL-00221,2377,7,7,mensual,73.77,404.63,tarjeta,0,basico,0,30,38,0,0,6,Lima,activo,si,si,0
